case_id,reported_date,case_type,subject_ar,case_summary_ar,handling_unit,case_status
CASE-00552,2019-12-22,استخدام غير مصرح للأنظمة,بلاغ مبلّغ عن مخالفات في الاتصال المؤسسي,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2019-4558 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00553,2025-08-26,تعارض مصالح,مخالفة خصوصية في تداول ملفات المنسوبين,تداول ملفات موظفين دون مراعاة ضوابط خصوصية البيانات. المرجع CASE-2025-5749 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,مغلق
CASE-00554,2024-10-17,تعارض مصالح,قضية اشتباه تجسس إلكتروني على نظام النسخ الاحتياطي المركزي,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2024-8086 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد المراجعة القانونية
CASE-00555,2019-08-01,بلاغ مبلّغ,تحقيق في مخالفة تعاقدية مع صندوق استثماري دولي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2019-3029 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,منتهي بتوصيات
CASE-00556,2025-12-03,إساءة استخدام صلاحيات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2025-7791 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00557,2022-10-23,مخالفة تعاقدية,قضية اشتباه تجسس إلكتروني على بوابة الموردين الإلكترونية,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2022-1270 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-00558,2024-09-13,بلاغ مبلّغ,مذكرة داخلية بشأن ضبط الحضور في إدارة المخاطر,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2024-2644 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00559,2024-12-15,إساءة استخدام صلاحيات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2024-1616 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,منتهي بتوصيات
CASE-00560,2021-10-01,مخالفة مشتريات,قضية إساءة استخدام معلومات داخلية في قطاع الشراكات,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2021-3259 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00561,2023-02-27,مخالفة سلوك مهني,تحقيق في احتيال مالي بقيمة تقديرية 15 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2023-9892 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-00562,2025-10-08,إساءة استخدام صلاحيات,شكوى بيئة عمل في إدارة المخاطر,شكوى موظف تتضمن بيانات شخصية وتفاصيل تواصل داخلية. المرجع CASE-2025-7282 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-00563,2025-06-15,إساءة استخدام صلاحيات,تحقيق في تلاعب بسجلات الاعتماد في منصة التحليلات المؤسسية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2025-1170 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-00564,2025-07-29,مخالفة سلوك مهني,تحقيق في مخالفة تعاقدية مع صندوق استثماري دولي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2025-8043 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00565,2020-04-07,تعارض مصالح,ملف مراجعة خاصة رقم SR-2020-664,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2020-8212 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,محال للجهة المختصة
CASE-00566,2025-06-19,استخدام غير مصرح للأنظمة,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2025-7735 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,محال للجهة المختصة
CASE-00567,2020-12-20,تسريب معلومات,طلب تصحيح بيانات هوية في سجل الموظفين,طلب تصحيح حقول هوية وبيانات تواصل في السجل. المرجع CASE-2020-2429 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00568,2019-05-25,مخالفة مشتريات,تحقيق في مخالفة تعاقدية مع صندوق استثماري دولي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2019-2485 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-00569,2021-11-02,احتيال مالي,تحقيق في مخالفة تعاقدية مع دولة شريكة,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2021-9527 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد المراجعة القانونية
CASE-00570,2023-10-19,بلاغ مبلّغ,ملخص مواجهة أطراف في الملف رقم MF-2023-977,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2023-3177 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد التحقيق
CASE-00571,2026-02-26,مخالفة مشتريات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2026-1588 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00572,2019-06-27,احتيال مالي,ملف مراجعة خاصة رقم SR-2019-515,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2019-2526 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,محال للجهة المختصة
CASE-00573,2021-10-30,تسريب معلومات,قضية تعارض مصالح في ترسية برنامج التحول الرقمي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2021-4285 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-00574,2023-06-20,إساءة استخدام صلاحيات,قضية تعارض مصالح في ترسية برنامج تحديث البنية التقنية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2023-8365 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,منتهي بتوصيات
CASE-00575,2020-10-17,إساءة استخدام صلاحيات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2020-1529 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد المراجعة القانونية
CASE-00576,2024-03-03,مخالفة تعاقدية,ملخص مواجهة أطراف في الملف رقم MF-2024-218,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2024-5466 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,منتهي بتوصيات
CASE-00577,2026-03-11,استخدام غير مصرح للأنظمة,قضية إساءة استخدام معلومات داخلية في قطاع التقنية والمشاريع,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2026-1204 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-00578,2019-01-16,مخالفة تعاقدية,ملخص مواجهة أطراف في الملف رقم MF-2019-506,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2019-8167 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00579,2021-07-25,تعارض مصالح,تحقيق في احتيال مالي بقيمة تقديرية 11 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2021-6467 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-00580,2021-11-06,احتيال مالي,قضية تعارض مصالح في ترسية برنامج تحديث البنية التقنية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2021-4331 · الجهة المعنية: الموارد البشرية.,,بانتظار الرد
CASE-00581,2022-04-25,مخالفة سلوك مهني,ملخص مواجهة أطراف في الملف رقم MF-2022-366,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2022-2689 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد المراجعة القانونية
CASE-00582,2021-10-13,مخالفة مشتريات,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2021-4060 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00583,2024-09-07,تعارض مصالح,منشور سياسة السلوك المهني - التخطيط والتطوير 2024,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2024-5507 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,مغلق
CASE-00584,2023-01-24,تسريب معلومات,تحقيق في احتيال مالي بقيمة تقديرية 35 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2023-8072 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,محال للجهة المختصة
CASE-00585,2019-10-21,تعارض مصالح,مراجعة استراتيجية لمخاطر الالتزام في قطاع الخدمات الرقمية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2019-2054 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,محال للجهة المختصة
CASE-00586,2019-12-11,إساءة استخدام صلاحيات,إحصاءات البلاغات المغلقة - قطاع الأعمال المؤسسية الربع الثالث 2019,إحصاءات مجمّعة عن أعداد البلاغات دون أي تفاصيل تعريفية. المرجع CASE-2019-1022 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00587,2024-08-07,تعارض مصالح,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2024-8114 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,محال للجهة المختصة
CASE-00588,2024-05-27,بلاغ مبلّغ,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2024-6829 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,منتهي بتوصيات
CASE-00589,2021-06-27,تسريب معلومات,ملف مراجعة خاصة رقم SR-2021-693,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2021-3512 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,بانتظار الرد
CASE-00590,2022-12-27,مخالفة تعاقدية,ملف محال للجهة العليا رقم HC-2022-54,ملف محال لجهة عليا لارتباطه بمواقع ومنشآت وطنية محددة. المرجع CASE-2022-7715 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد المراجعة القانونية
CASE-00591,2022-03-18,مخالفة سلوك مهني,بلاغ مبلّغ عن مخالفات في تقنية المعلومات,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2022-8965 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00592,2024-10-16,بلاغ مبلّغ,ملخص مواجهة أطراف في الملف رقم MF-2024-529,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2024-9686 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00593,2026-03-12,احتيال مالي,ملف مراجعة خاصة رقم SR-2026-743,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2026-4002 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00594,2026-03-01,تسريب معلومات,إعلان قناة البلاغات في الرياض - 2026,إعلان رسمي عن إطلاق قناة استقبال البلاغات وآلية استخدامها. المرجع CASE-2026-9556 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00595,2024-07-17,بلاغ مبلّغ,مراجعة استراتيجية لمخاطر الالتزام في قطاع الشراكات,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2024-1296 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,بانتظار الرد
CASE-00596,2023-10-14,مخالفة تعاقدية,بلاغ مبلّغ عن مخالفات في تقنية المعلومات,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2023-3717 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00597,2020-09-22,احتيال مالي,مخالفة خصوصية في تداول ملفات المنسوبين,تداول ملفات موظفين دون مراعاة ضوابط خصوصية البيانات. المرجع CASE-2020-9715 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,محال للجهة المختصة
CASE-00598,2020-08-15,مخالفة مشتريات,تحقيق في احتيال مالي بقيمة تقديرية 26 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2020-1815 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,محال للجهة المختصة
CASE-00599,2024-12-06,مخالفة سلوك مهني,مراجعة استراتيجية لمخاطر الالتزام في قطاع الحلول الحكومية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2024-6555 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-00600,2025-11-30,استخدام غير مصرح للأنظمة,قضية اشتباه تجسس إلكتروني على منصة الخدمات الحكومية الموحدة,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2025-3116 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-00601,2022-09-01,مخالفة تعاقدية,تحقيق في محاولة الوصول إلى سجلات تحركات القوات,محاولة موظف الوصول إلى سجلات تحركات القوات دون تصريح. المرجع CASE-2022-2407 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,بانتظار الرد
CASE-00602,2023-04-25,احتيال مالي,مخالفة خصوصية في تداول ملفات المنسوبين,تداول ملفات موظفين دون مراعاة ضوابط خصوصية البيانات. المرجع CASE-2023-8288 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد التحقيق
CASE-00603,2026-01-29,مخالفة سلوك مهني,تحقيق في تواطؤ محتمل بين موردي قطاع العمليات,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2026-6675 · الجهة المعنية: الشؤون القانونية.,,بانتظار الرد
CASE-00604,2026-02-22,تسريب معلومات,اعتراض على احتساب راتب موظف في التخطيط والتطوير,طلب مراجعة احتساب راتب وبدلات لموظف واحد. المرجع CASE-2026-1591 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00605,2023-12-25,مخالفة سلوك مهني,منشور سياسة السلوك المهني - الخدمات المساندة 2023,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2023-8488 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,محال للجهة المختصة
CASE-00606,2022-07-11,تعارض مصالح,اعتراض على احتساب راتب موظف في التدقيق الداخلي,طلب مراجعة احتساب راتب وبدلات لموظف واحد. المرجع CASE-2022-4222 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,بانتظار الرد
CASE-00607,2019-07-04,مخالفة تعاقدية,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2019-5858 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-00608,2025-06-13,بلاغ مبلّغ,تحقيق في مخالفة تعاقدية مع منظمة إقليمية,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2025-2865 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,مغلق
CASE-00609,2025-08-08,استخدام غير مصرح للأنظمة,طلب إجازة طبي ممتدة - إدارة المخاطر,ملف طبي داعم لطلب إجازة ممتدة لأحد المنسوبين. المرجع CASE-2025-3371 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد المراجعة القانونية
CASE-00610,2023-03-25,مخالفة مشتريات,تحقيق في تواطؤ محتمل بين موردي قطاع الحلول الحكومية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2023-7893 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد المراجعة القانونية
CASE-00611,2023-08-15,احتيال مالي,تحقيق في احتيال مالي بقيمة تقديرية 22 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2023-4493 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00612,2025-03-11,مخالفة سلوك مهني,طلب إجازة طبي ممتدة - التخطيط والتطوير,ملف طبي داعم لطلب إجازة ممتدة لأحد المنسوبين. المرجع CASE-2025-7948 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,محال للجهة المختصة
CASE-00613,2025-09-12,تسريب معلومات,بلاغ عن مخالفة في التعامل مع مواد أسلحة خاضعة للرقابة,مخالفة إجراءات مناولة أسلحة ومواد خاضعة للرقابة داخل موقع تشغيلي. المرجع CASE-2025-1314 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-00614,2025-06-29,تسريب معلومات,تحقيق في مخالفة تعاقدية مع شريك تقني عالمي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2025-2745 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,مغلق
CASE-00615,2020-03-24,مخالفة مشتريات,قضية تمويل مشبوه مرتبط بشبكة خارجية,إحالة إلى الجهات الأمنية بعد رصد نمط تمويل يتصل بأنشطة استخبارات. المرجع CASE-2020-4706 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد المراجعة القانونية
CASE-00616,2022-06-13,تسريب معلومات,تحقيق في احتيال مالي بقيمة تقديرية 33 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2022-5150 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-00617,2021-07-16,مخالفة تعاقدية,ملخص مواجهة أطراف في الملف رقم MF-2021-623,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2021-5847 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد المراجعة القانونية
CASE-00618,2024-06-16,مخالفة تعاقدية,بلاغ عن مخالفة في التعامل مع مواد أسلحة خاضعة للرقابة,مخالفة إجراءات مناولة أسلحة ومواد خاضعة للرقابة داخل موقع تشغيلي. المرجع CASE-2024-7928 · الجهة المعنية: الموارد البشرية.,,محال للجهة المختصة
CASE-00619,2019-02-18,تسريب معلومات,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2019-5825 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,محال للجهة المختصة
CASE-00620,2020-11-26,مخالفة سلوك مهني,قضية تعارض مصالح في ترسية برنامج أمن سلاسل الإمداد,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2020-6366 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد المراجعة القانونية
CASE-00621,2022-04-07,إساءة استخدام صلاحيات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2022-5472 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد المراجعة القانونية
CASE-00622,2023-05-16,بلاغ مبلّغ,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2023-5772 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00623,2022-08-20,استخدام غير مصرح للأنظمة,مخالفة في التعامل مع مخرجات مورد عسكري المنشأ,استخدام مكوّن عسكري المنشأ خارج الضوابط التعاقدية المعتمدة. المرجع CASE-2022-9744 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد التحقيق
CASE-00624,2019-09-04,احتيال مالي,قضية تعارض مصالح في ترسية برنامج التحول الرقمي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2019-7548 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-00625,2020-08-23,إساءة استخدام صلاحيات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2020-9301 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,محال للجهة المختصة
CASE-00626,2023-07-28,مخالفة مشتريات,بلاغ مبلّغ عن مخالفات في إدارة المخاطر,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2023-9461 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00627,2019-04-02,احتيال مالي,طلب إجازة طبي ممتدة - المشتريات,ملف طبي داعم لطلب إجازة ممتدة لأحد المنسوبين. المرجع CASE-2019-5018 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00628,2022-07-26,مخالفة سلوك مهني,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2022-4393 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد التحقيق
CASE-00629,2024-11-12,إساءة استخدام صلاحيات,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2024-8626 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد المراجعة القانونية
CASE-00630,2024-06-06,تسريب معلومات,ملخص مواجهة أطراف في الملف رقم MF-2024-352,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2024-1569 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد التحقيق
CASE-00631,2020-09-26,تعارض مصالح,دليل خدمات الالتزام المنشور - قطاع التحول الرقمي 2020,دليل خدمات منشور يشرح مسارات الالتزام المتاحة. المرجع CASE-2020-4890 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00632,2024-11-13,بلاغ مبلّغ,بلاغ مبلّغ عن مخالفات في ضبط الجودة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2024-7104 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد المراجعة القانونية
CASE-00633,2026-02-04,تعارض مصالح,قضية تعارض مصالح في ترسية برنامج أمن سلاسل الإمداد,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2026-1892 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد التحقيق
CASE-00634,2024-05-24,مخالفة تعاقدية,قضية إساءة استخدام معلومات داخلية في قطاع الأعمال المؤسسية,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2024-4641 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,منتهي بتوصيات
CASE-00635,2020-07-22,تعارض مصالح,قضية إساءة استخدام معلومات داخلية في قطاع التحول الرقمي,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2020-9269 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-00636,2019-08-25,مخالفة تعاقدية,مذكرة داخلية بشأن ضبط الحضور في المالية,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2019-7266 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد المراجعة القانونية
CASE-00637,2020-10-15,بلاغ مبلّغ,بلاغ مبلّغ عن مخالفات في التخطيط والتطوير,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2020-3642 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,محال للجهة المختصة
CASE-00638,2022-08-09,احتيال مالي,شكوى بيئة عمل في إدارة المخاطر,شكوى موظف تتضمن بيانات شخصية وتفاصيل تواصل داخلية. المرجع CASE-2022-5869 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-00639,2020-01-03,إساءة استخدام صلاحيات,قضية تمويل مشبوه مرتبط بشبكة خارجية,إحالة إلى الجهات الأمنية بعد رصد نمط تمويل يتصل بأنشطة استخبارات. المرجع CASE-2020-6130 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-00640,2021-03-18,مخالفة سلوك مهني,دليل خدمات الالتزام المنشور - قطاع البنية التحتية 2021,دليل خدمات منشور يشرح مسارات الالتزام المتاحة. المرجع CASE-2021-9954 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد المراجعة القانونية
CASE-00641,2025-06-23,احتيال مالي,تحقيق في تواطؤ محتمل بين موردي قطاع الخدمات الرقمية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2025-8223 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد المراجعة القانونية
CASE-00642,2023-08-22,تعارض مصالح,تحقيق في تلاعب بسجلات الاعتماد في بوابة المستفيدين,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2023-9228 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد التحقيق
CASE-00643,2022-02-26,مخالفة مشتريات,شكوى بيئة عمل في تقنية المعلومات,شكوى موظف تتضمن بيانات شخصية وتفاصيل تواصل داخلية. المرجع CASE-2022-9371 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد التحقيق
CASE-00644,2024-12-19,مخالفة تعاقدية,ملف مراجعة خاصة رقم SR-2024-230,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2024-4771 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
